Eingegangen am;Mangel Nr.;Typ;Status
24.01.2018 18:19:19;81;Defekte Straßenbeleuchtung;Behoben
25.01.2018 13:51:03;82;Parkverstöße;Behoben
26.01.2018 12:33:47;83;Defekte Straßenbeleuchtung;Behoben
26.01.2018 19:16:28;84;Parkverstöße;Behoben
28.01.2018 13:22:46;85;Defekte Straßenbeleuchtung;Behoben
29.01.2018 15:22:42;86;Parkverstöße;Behoben
29.01.2018 15:25:36;87;Straßenschäden;Behoben
30.01.2018 11:31:20;88;Parkverstöße;Behoben
30.01.2018 13:59:31;89;Parkverstöße;Behoben
31.01.2018 11:36:24;90;Parkverstöße;Behoben
01.02.2018 20:48:56;91;Defekte Straßenbeleuchtung;Behoben
01.02.2018 20:51:46;92;Defekte Straßenbeleuchtung;Behoben
06.02.2018 20:09:32;93;Defekte Straßenbeleuchtung;Behoben
07.02.2018 11:49:02;94;Abgestellte Autos ohne Kennzeichen;Behoben
09.02.2018 11:14:04;95;Probleme mit Tieren (zum Beispiel Wespen, Hornissen, Hunde);Behoben
10.02.2018 08:29:28;96;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
10.02.2018 16:47:29;97;Sonstige Mängel;Behoben
10.02.2018 17:07:12;98;Abgestellte Autos ohne Kennzeichen;In Bearbeitung
11.02.2018 04:13:51;99;Straßenschäden;Behoben
11.02.2018 10:33:31;100;Straßenschäden;Behoben
12.02.2018 10:39:13;101;Illegale Müllablagerung, Ansammlung von Unrat;Abgelehnt
12.02.2018 16:29:08;102;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
12.02.2018 17:17:58;103;Mülltonnen nicht geleert oder verschwunden;Behoben
14.02.2018 08:32:53;104;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
14.02.2018 08:38:16;105;Illegale Müllablagerung, Ansammlung von Unrat;Abgelehnt
14.02.2018 16:33:12;106;Sonstige Mängel;Behoben
14.02.2018 23:57:20;107;Straßen- und Gehwegverunreinigung;Abgelehnt
15.02.2018 10:58:22;108;Mülltonnen nicht geleert oder verschwunden;Behoben
15.02.2018 17:14:12;109;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
15.02.2018 17:45:44;110;Probleme mit Tieren (zum Beispiel Wespen, Hornissen, Hunde);Behoben
16.02.2018 07:53:29;111;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
16.02.2018 10:52:16;112;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
16.02.2018 10:55:09;113;Sonstige Mängel;Behoben
16.02.2018 17:04:12;114;Parkverstöße;Behoben
16.02.2018 19:04:31;115;Defekte Straßenbeleuchtung;Behoben
16.02.2018 19:16:47;116;Defekte Straßenbeleuchtung;Behoben
16.02.2018 22:42:00;117;Defekte Straßenbeleuchtung;Behoben
17.02.2018 12:52:58;118;Defekte Ampelanlagen oder Verkehrsschilder;Abgelehnt
18.02.2018 13:18:04;119;Illegale Müllablagerung, Ansammlung von Unrat;Behoben
19.02.2018 13:36:27;120;Straßenschäden;Abgelehnt
20.02.2018 15:15:19;121;Sonstige Mängel;Behoben
21.02.2018 07:07:35;122;Straßenschäden;Behoben
21.02.2018 09:25:21;123;Abgestellte Autos ohne Kennzeichen;In Bearbeitung
21.02.2018 16:17:07;124;Defekte Straßenbeleuchtung;Abgelehnt
22.02.2018 09:32:25;125;Defekte Ampelanlagen oder Verkehrsschilder;Behoben
22.02.2018 13:00:03;126;Parkverstöße;Behoben
